,ID,Title,ImageURL,Genres,emotion_label_1,emotion_label_2
0,933260,The Substance,https://image.tmdb.org/t/p/w600_and_h900_bestv2/lqoMzCcZYEFK729d6qzt349fB4o.jpg,"Horror, Drama, Science Fiction",neutral,disgust
1,533535,Deadpool & Wolverine,https://image.tmdb.org/t/p/w600_and_h900_bestv2/8cdWjvZQUExUUTzyp4t6EDMubfO.jpg,"Action, Comedy, Science Fiction",sadness,neutral
2,917496,Beetlejuice Beetlejuice,https://image.tmdb.org/t/p/w600_and_h900_bestv2/kKgQzkUCnQmeTPkyIwHly2t6ZFI.jpg,"Comedy, Fantasy, Horror",fear,sadness
3,1125510,The Platform 2,https://image.tmdb.org/t/p/w600_and_h900_bestv2/izuzUb0sDokqp9o8utVfsrSJuy5.jpg,"Science Fiction, Thriller, Drama, Horror",disgust,anger
4,519182,Despicable Me 4,https://image.tmdb.org/t/p/w600_and_h900_bestv2/wWba3TaojhK7NdycRhoQpsG0FaH.jpg,"Animation, Family, Comedy, Action",anger,neutral
5,1034541,Terrifier 3,https://image.tmdb.org/t/p/w600_and_h900_bestv2/l1175hgL5DoXnqeZQCcU3eZIdhX.jpg,"Horror, Thriller",fear,sadness
6,726139,Project Silence,https://image.tmdb.org/t/p/w600_and_h900_bestv2/fttoFfKikQMwIoV3UVvlCvBhbUw.jpg,"Action, Thriller, Horror, Science Fiction",fear,anger
7,1184918,The Wild Robot,https://image.tmdb.org/t/p/w600_and_h900_bestv2/wTnV3PCVW5O92JMrFvvrRcV39RU.jpg,"Animation, Science Fiction, Family",sadness,neutral
8,1144962,Transmorphers: Mech Beasts,https://image.tmdb.org/t/p/w600_and_h900_bestv2/oqhaffnQqSzdLrYAQA5W4IdAoCX.jpg,"Action, Science Fiction",fear,neutral
9,1022789,Inside Out 2,https://image.tmdb.org/t/p/w600_and_h900_bestv2/vpnVM9B6NMmQpWeZvzLvDESb2QY.jpg,"Animation, Family, Adventure, Comedy, Drama",disgust,anger
10,957452,The Crow,https://image.tmdb.org/t/p/w600_and_h900_bestv2/58QT4cPJ2u2TqWZkterDq9q4yxQ.jpg,"Action, Fantasy, Horror",anger,disgust
11,1329336,The Bad Guys: Haunted Heist,https://image.tmdb.org/t/p/w600_and_h900_bestv2/oEJC05CqPugMxC4rFu9r6r6vg6m.jpg,"Animation, Comedy",fear,neutral
12,1210794,Trouble,https://image.tmdb.org/t/p/w600_and_h900_bestv2/ildbg7ho14EHbt1fZWAkgqIyPqy.jpg,"Action, Comedy, Crime",disgust,anger
13,507241,The Killer's Game,https://image.tmdb.org/t/p/w600_and_h900_bestv2/4bKlTeOUr5AKrLky8mwWvlQqyVd.jpg,"Action, Comedy, Crime",neutral,fear
14,179387,Heavenly Touch,https://image.tmdb.org/t/p/w600_and_h900_bestv2/ory8WuAqznTE7lfopTSymHpop2t.jpg,"Drama, Romance",sadness,disgust
15,1079091,It Ends with Us,https://image.tmdb.org/t/p/w600_and_h900_bestv2/AjV6jFJ2YFIluYo4GQf13AA1tqu.jpg,"Romance, Drama",anger,disgust
16,877817,Wolfs,https://image.tmdb.org/t/p/w600_and_h900_bestv2/vOX1Zng472PC2KnS0B9nRfM8aaZ.jpg,"Comedy, Thriller, Action",disgust,neutral
